DATE,OPEN,HIGH,LOW,PREV. CLOSE,VOLUME,VALUE,NO OF TRADES,CLOSE 
13-04-2022,1754.95,1757.5,1732,1742.45,6257693,10933526248,223033,1748.55
18-04-2022,1605.5,1650,1590,1748.55,30523965,49630097106,1443330,1621.4
19-04-2022,1636.65,1636.65,1550,1621.4,17044923,27096225126,763964,1562
20-04-2022,1575,1596.3,1563,1562,10678747,16915009922,391296,1587.7
21-04-2022,1595,1627.2,1589.25,1587.7,7766514,12549264894,256268,1618.8
22-04-2022,1604.35,1610.7,1582.4,1618.8,8134245,12984469892,418900,1585.45
25-04-2022,1572.8,1572.8,1554.1,1585.45,7000570,10930323720,394157,1561.1
26-04-2022,1577.2,1592,1566.55,1561.1,5345435,8460056311,181573,1581
27-04-2022,1572.75,1572.75,1550.35,1581,8819356,13732718004,296887,1552.8
28-04-2022,1570,1601.8,1557.45,1552.8,9245177,14622527487,234468,1582.6
29-04-2022,1590,1597.3,1560.8,1582.6,9831395,15502990988,263325,1567.55
02-05-2022,1550.9,1552.75,1531,1567.55,7072627,10879371919,301415,1541
04-05-2022,1547.25,1570,1530.15,1541,6220959,9631379025,234262,1535.55
05-05-2022,1560.05,1589.4,1557.45,1535.55,6144870,9715361526,217185,1585.15
06-05-2022,1550,1561.85,1535.05,1585.15,6171472,9526090605,257203,1542.85
09-05-2022,1540,1586.8,1522.15,1542.85,6832202,10698465307,265549,1570.35
10-05-2022,1558,1569.15,1546.05,1570.35,6212545,9685176738,214384,1553
11-05-2022,1549.95,1549.95,1511.6,1553,7846080,11966677214,291699,1526.75
12-05-2022,1514,1527.5,1504.3,1526.75,7034979,10653003625,242670,1508.8
13-05-2022,1519.3,1529.25,1498.1,1508.8,6723761,10193367340,203286,1504.4
16-05-2022,1510,1511.85,1478.65,1504.4,6145331,9167743367,253982,1489.1
17-05-2022,1494.9,1525,1480.9,1489.1,6516378,9829715301,228982,1518.45
18-05-2022,1522,1549.7,1505.3,1518.45,6594126,10061219716,200417,1509.2
19-05-2022,1481,1484.7,1417.65,1509.2,16561140,23807174900,659166,1427.15
20-05-2022,1453,1466.75,1446.7,1427.15,10488908,15279529310,266730,1455.15
23-05-2022,1455.1,1488,1450.05,1455.15,5887569,8678630195,194715,1468.4
24-05-2022,1468.6,1469.55,1435.25,1468.4,5693167,8236426021,176635,1441
25-05-2022,1435,1442.5,1399.25,1441,9630092,13664990145,262121,1410.45
26-05-2022,1418,1430,1407.05,1410.45,13040065,18504582626,305186,1423.95
27-05-2022,1443.95,1467,1437.4,1423.95,8284860,12029156202,213654,1461.35
30-05-2022,1487,1530,1485,1461.35,10904213,16563555828,251321,1526.8
31-05-2022,1510.7,1518,1488.15,1526.8,16033857,24109458124,208356,1503.6
01-06-2022,1513,1514.75,1472.1,1503.6,8738508,13031629592,250909,1478.55
02-06-2022,1484,1513.85,1475.6,1478.55,7205840,10788940909,181247,1508
03-06-2022,1524.9,1555,1518,1508,9395707,14476219587,214669,1521.7
06-06-2022,1516,1536.6,1493,1521.7,6624883,10059323385,210472,1530.05
07-06-2022,1519.85,1519.85,1502.6,1530.05,4904592,7403178927,126118,1506.7
08-06-2022,1520.2,1520.2,1492,1506.7,4697608,7058362388,170475,1500
09-06-2022,1485,1516.95,1481.5,1500,4361061,6563050774,145083,1515
10-06-2022,1486.1,1493.95,1473.6,1515,6516436,9659116722,234283,1476.8
13-06-2022,1443.6,1443.6,1411.7,1476.8,6987685,9966035592,327403,1424.5
14-06-2022,1410,1448.9,1403.15,1424.5,6090247,8755549345,201978,1440.55
15-06-2022,1440.2,1446.4,1418.85,1440.55,4651958,6654855561,150561,1422.2
16-06-2022,1438,1443.75,1392,1422.2,6641772,9368700309,286168,1397.2
17-06-2022,1391.05,1396.95,1367.15,1397.2,9692047,13419695918,405928,1387.3
20-06-2022,1390.05,1422.35,1382,1387.3,4595194,6451550708,143018,1414.15
21-06-2022,1424,1456,1422.75,1414.15,6270787,9073788041,191713,1449.9
22-06-2022,1436.05,1459.6,1435,1449.9,6253366,9037920247,172406,1437.25
23-06-2022,1439.8,1458,1433,1437.25,6254281,9046655358,196616,1452.45
24-06-2022,1458,1467.5,1428.9,1452.45,6114340,8817269189,260872,1441.1
27-06-2022,1468.05,1484,1465.15,1441.1,4511097,6659914554,188158,1474.6
28-06-2022,1469,1488.25,1453,1474.6,4412178,6480818446,143516,1480.15
29-06-2022,1464.7,1477,1457,1480.15,5060038,7428509396,143914,1463.25
30-06-2022,1465.05,1482,1455,1463.25,9165177,13430202954,237326,1461.9
01-07-2022,1454,1485,1442.35,1461.9,4651635,6800417470,177961,1479.4
04-07-2022,1480.25,1492.25,1462,1479.4,4800224,7098545533,220885,1488
05-07-2022,1498.8,1509.95,1472,1488,7379669,11037088108,249546,1475.95
06-07-2022,1482.2,1500,1470,1475.95,5209162,7740736358,156085,1491.65
07-07-2022,1503.05,1513.95,1495.7,1491.65,3323472,4996860163,121073,1498.7
08-07-2022,1515,1516.95,1499.95,1498.7,3652582,5510122804,155962,1514.45
11-07-2022,1495,1499.9,1466.4,1514.45,4702815,6935483774,188382,1473.15
12-07-2022,1461.8,1468.6,1436,1473.15,4710356,6832944704,181598,1438.6
